CODCP_INEI,CODCCPP,CEN_POB,CODGEO,D_DPTO,D_PROV,D_DIST,D_REGION,REGION
604070012,573371,ATUMPAMPA,60407,CAJAMARCA,CHOTA,COCHABAMBA,DRE CAJAMARCA,CAJAMARCA
604030004,539475,NUEVO ORIENTE,60403,CAJAMARCA,CHOTA,CHADIN,DRE CAJAMARCA,CAJAMARCA
604060019,516901,SAN PEDRO,60406,CAJAMARCA,CHOTA,CHOROPAMPA,DRE CAJAMARCA,CAJAMARCA
604110078,539828,CARNICHE BAJO,60411,CAJAMARCA,CHOTA,LLAMA,DRE CAJAMARCA,CAJAMARCA
604110076,573529,CARNICHE ALTO,60411,CAJAMARCA,CHOTA,LLAMA,DRE CAJAMARCA,CAJAMARCA
604110001,121548,LLAMA,60411,CAJAMARCA,CHOTA,LLAMA,DRE CAJAMARCA,CAJAMARCA
604110082,125579,CARHUAQUERO,60411,CAJAMARCA,CHOTA,LLAMA,DRE CAJAMARCA,CAJAMARCA
604110070,573698,CUMBIL,60411,CAJAMARCA,CHOTA,LLAMA,DRE CAJAMARCA,CAJAMARCA
,517658,RACARRUMI,60411,CAJAMARCA,CHOTA,LLAMA,DRE CAJAMARCA,CAJAMARCA
604110074,212490,LA RAMADA,60411,CAJAMARCA,CHOTA,LLAMA,DRE CAJAMARCA,CAJAMARCA
604110057,111310,POTRERILLO,60411,CAJAMARCA,CHOTA,LLAMA,DRE CAJAMARCA,CAJAMARCA
604110065,617533,SAN JUAN DE COJIN,60411,CAJAMARCA,CHOTA,LLAMA,DRE CAJAMARCA,CAJAMARCA
,573343,CHECOPON,60411,CAJAMARCA,CHOTA,LLAMA,DRE CAJAMARCA,CAJAMARCA
604110003,246581,LA SUCCHA,60411,CAJAMARCA,CHOTA,LLAMA,DRE CAJAMARCA,CAJAMARCA
604110032,525277,LA COLMENA,60411,CAJAMARCA,CHOTA,LLAMA,DRE CAJAMARCA,CAJAMARCA
604110019,541067,HUANGAMARCA,60411,CAJAMARCA,CHOTA,LLAMA,DRE CAJAMARCA,CAJAMARCA
1401020011,574156,EL CUELLO,60411,CAJAMARCA,CHOTA,LLAMA,DRE CAJAMARCA,CAJAMARCA
604110060,120562,PADEN,60411,CAJAMARCA,CHOTA,LLAMA,DRE CAJAMARCA,CAJAMARCA
604110064,113953,PACOPUQUIO,60411,CAJAMARCA,CHOTA,LLAMA,DRE CAJAMARCA,CAJAMARCA
604110042,653329,SAN LORENZO DE HUARIMARCA,60411,CAJAMARCA,CHOTA,LLAMA,DRE CAJAMARCA,CAJAMARCA
604110004,526427,MUTUY,60411,CAJAMARCA,CHOTA,LLAMA,DRE CAJAMARCA,CAJAMARCA
604110017,111596,TIMON,60411,CAJAMARCA,CHOTA,LLAMA,DRE CAJAMARCA,CAJAMARCA
604110030,120328,LIMONCARRO,60411,CAJAMARCA,CHOTA,LLAMA,DRE CAJAMARCA,CAJAMARCA
604110067,573263,CARRIZAL,60411,CAJAMARCA,CHOTA,LLAMA,DRE CAJAMARCA,CAJAMARCA
604110051,532865,MAYCHIL,60411,CAJAMARCA,CHOTA,LLAMA,DRE CAJAMARCA,CAJAMARCA
604110049,246336,CALLAPAMPA,60411,CAJAMARCA,CHOTA,LLAMA,DRE CAJAMARCA,CAJAMARCA
604110026,515082,CUCARACRA,60411,CAJAMARCA,CHOTA,LLAMA,DRE CAJAMARCA,CAJAMARCA
604110075,548310,BOCATOMA,60411,CAJAMARCA,CHOTA,LLAMA,DRE CAJAMARCA,CAJAMARCA
604110059,236101,SICAN,60411,CAJAMARCA,CHOTA,LLAMA,DRE CAJAMARCA,CAJAMARCA
604110052,111075,LLUSCAPAMPA,60411,CAJAMARCA,CHOTA,LLAMA,DRE CAJAMARCA,CAJAMARCA
604110044,118547,PARAYRACRA,60411,CAJAMARCA,CHOTA,LLAMA,DRE CAJAMARCA,CAJAMARCA
604110021,131914,SAN ANTONIO,60411,CAJAMARCA,CHOTA,LLAMA,DRE CAJAMARCA,CAJAMARCA
604110009,620292,LA SUCCHA HUANGAMARCA,60411,CAJAMARCA,CHOTA,LLAMA,DRE CAJAMARCA,CAJAMARCA
604110050,114549,TOCAJ,60411,CAJAMARCA,CHOTA,LLAMA,DRE CAJAMARCA,CAJAMARCA
604120001,123050,MIRACOSTA,60412,CAJAMARCA,CHOTA,MIRACOSTA,DRE CAJAMARCA,CAJAMARCA
604120030,120805,CASCABAMBA,60412,CAJAMARCA,CHOTA,MIRACOSTA,DRE CAJAMARCA,CAJAMARCA
604120019,113512,CALUNGATE,60412,CAJAMARCA,CHOTA,MIRACOSTA,DRE CAJAMARCA,CAJAMARCA
604120040,574361,LA MONTAÑA,60412,CAJAMARCA,CHOTA,MIRACOSTA,DRE CAJAMARCA,CAJAMARCA
